Codigo,Tipo,Nombre,Dir,Ciudad,Prov,CP,Tel
E0136,1.0,FARMALIDER,ARAGONESES,ALCOBENDAS,MADRID,28108,916612335
E0138,1.0,COLLADO,"VARSOVIA, 47-51",BARCELONA,BARCELONA,08026,934873155
E0140,1.0,"ESTEVE PHARMACEUTICALS, S.A.",PASSEIG DE LA ZONA FRANCA,BARCELONA,BARCELONA,08038,934466000
E0141,1.0,BARCELO,, , ,,0
E0142,1.0,DECROX S.A.,POLÍGONO INDUSTRIAL LA RED SUR,ALCALA DE GUADAIRA,SEVILLA,41500,955631312
E0144,1.0,NEUSC,C/   SAU,GURB,BARCELONA,08503,938862078
E0145,1.0,ALLEN FARMACEUTICA,C/   SEVERO OCHOA,TRES CANTOS,MADRID,28760,918070301
E0146,1.0,GRAIÑO,"MINA, 6",ALCOBENDAS,MADRID,28100,916526309
E0147,1.0,PIERRE FABRE IBERICA,RAMON TRIAS FARGAS,BARCELONA,BARCELONA,08005,934833000
E0148,1.0,CENINTER,JUAN IGNACIO LUCA DE TENA,MADRID,MADRID,28027,917248217
E0149,1.0,BRIQUENSA,"CAMINO S. RAFAEL, 53",MALAGA,MALAGA,29006,952329100
E0151,1.0,MANDRI,"PAU CLARIS, 182",BARCELONA,BARCELONA,08037,932154810
E0159,1.0,CHIRON IBERIA,"EDIFICIO DUBLIN, PARQUE EMP. SAN FERNANDO",SAN FERNANDO DE HENARES,MADRID,28831,916569549
E0160,1.0,FRESENIUS MEDICAL CARE,CTRA VALLDERIOLF KM 0.4,LA ROCA DEL VALLES,BARCELONA,08430,938794411
E0161,1.0,GOUPIL IBERICA,"AVDA. INDUSTRIA, 31",ALCOBENDAS,MADRID,28100,916614335
E0163,1.0,ELFAR-DRAG S.A.,C    GUZMAN EL BUENO,MADRID,MADRID,28036,915343710
E0164,1.0,DREIKEHL,"RAFAEL BATLLE, 26-28",BARCELONA,BARCELONA,08017,932032930
E0166,1.0,UPJOHN FARMOQUIMICA,"ALBACETE, 5- 7 PISO (ED.AGF)",MADRID,MADRID,28027,0
E0168,1.0,DURBAN,C/   IX,EL EJIDO,ALMERIA,04710,950606469
E0169,1.0,BOIZOT,PLAZA DE EUROPA,L'HOSPITALET DE LLOBREGAT,BARCELONA,08908,934948000
E0173,1.0,ELECTROLACTIL,"CISCAR, 26",VALENCIA,VALENCIA,46005,963740518
E0174,1.0,ELMU,, , ,,0
E0178,1.0,ERN,C/   PERU,BARCELONA,BARCELONA,08020,933148011
E0179,1.0,ESCANED,TOMAS BRETON,MADRID,MADRID,28045,914685882
E0182,1.0,SCHERING PLOUGH,C    CANTABRIA,ALCOBENDAS,MADRID,28108,915673000
E0183,1.0,ESTEDI,"MONTSENY, 41: LEOPOLDO ALAS, 7",BARCELONA,BARCELONA,08012,932177508
E0184,1.0,EUROPA,, , ,,0
E0185,1.0,FFF,POL. LAS FRONTERAS C/LIMITE S/N,TORREJON DE ARDOZ,MADRID,28850,916755985
E0186,1.0,FAES FARMA,MAXIMO AGUIRRE,LEJONA,BIZKAIA,48940,944818300
E0187,1.0,FALAFI,"RAMON LLULL, 6",CONSELL (MALLORCA),BALEARES,07330,971622098
E0189,1.0,FARDI,C    GRASSOT,BARCELONA,BARCELONA,08025,932073070
E0190,1.0,WEINCO,"COBO CALLEJA-TORRE DEL BIERZO,29",FUENLABRADA,MADRID,28947, 
E0194,1.0,FARUM,, , ,,0
E0195,1.0,DAIICHI SANKYO ESPAÑA,C/   ACANTO,MADRID,MADRID,28045,915399911
E0196,1.0,TEBIB,VIA DE LOS POBLADOS,MADRID,MADRID,02803,902363891
E0202,1.0,FERNANDEZ Y CANIVELL,, , ,,0
E0206,1.0,FERRER INTERNACIONAL,AVDA DIAGONAL,BARCELONA,BARCELONA,08029,935093232
E0207,1.0,S I E X,, , ,,0
E0208,1.0,"LABORATORIOS FHER, S.A.",C/   PRAT DE LA RIBA,SANT CUGAT DEL VALLES,BARCELONA,08174,934045100
E0209,1.0,FADER,"CASTAÑER, 15",BARCELONA,BARCELONA,08006,934177453
E0210,1.0,DOLISOS,C/   TOMAS REDONDO,MADRID,MADRID,28033,913819940
E0212,1.0,FORTUNY,, , ,,0
E0217,1.0,TEMIS FARMA S.L.,RONDA GENERAL MITRE,BARCELONA,BARCELONA,08022,932913000
E0220,1.0,ROTTAPHARM,AVDA DIAGONAL,BARCELONA,BARCELONA,08019,932988200
E0223,1.0,GARCIA SUAREZ,CID 3,MADRID,MADRID,28001,914313498
E0225,1.0,WELLCOME FARMACEUTICA,C/   SEVERO OCHOA,TRES CANTOS,MADRID,28760,918070301
E0226,1.0,GELOS S.L,JOAN XXIII,ESPLUGUES DE LLOBREGAT,BARCELONA,08950,934731910
E0227,1.0,GENOVE,AVDA CARRILET,L´HOSPITALET DE LLOBREGAT,BARCELONA,08907,933360211
E0230,1.0,LEGEM,, , ,,0
E0231,1.0,BICTHER,, , ,,0
E0232,1.0,GLOWER,, , ,,0
E0233,1.0,GLYCINIA,, , ,,0
E0238,1.0,DOCTOR LLANO,MAESTRO RIPOLL,MADRID,MADRID,28006,915620267
E0239,1.0,GRIFOLS,CAN GUASCH,PARETS DEL VALLES,BARCELONA,08150,935710100
E0240,1.0,TAFIR,"TRIFON PEDRERO, 4-6",MADRID,MADRID,28019,914605603
E0241,1.0,OTC IBERICA,C/   JOAN XXIII,ESPLUGUES DE LLOBREGAT,"BARCELONA,",08950,933758904
E0249,1.0,BAXTER,C/   POUET DE CAMILO,RIBARROJA DEL TURIA,VALENCIA,46394,962722800
E0251,1.0,RUBIO,INDUSTRIA,CASTELLBISBAL,BARCELONA,08755,937722509
E0257,1.0,HOECHST IBERICA,VIA AUGUSTA252-260,BARCELONA,BARCELONA,08017,933068111
E0258,1.0,ROBAPHARM,"AVDA DE CIEZA, 58",ABARAN,MURCIA,30550,968770200
E0260,1.0,HOSBON,"RONDA GENERAL MITRE, 72-74",BARCELONA,BARCELONA,08017,933068470
E0261,1.0,VALEANT PHARMACEUTICALS IBERICA S.A.,AV.  CASTILLA,SAN FERNANDO DE HENARES,MADRID,28830,916699300
E0263,1.0,IBE,, , ,,0
E0264,1.0,ALCON CUSI,GRAN VIA DE LES CORTS CATALANES,BARCELONA,BARCELONA,08013,914903970
E0265,1.0,IBSE,, , ,,0
E0267,1.0,ASTRAZENECA FARMACEUTICA SPAIN,C/   SERRANO GALVACHE,MADRID,MADRID,28033,913019100
E0268,1.0,G.S.N.,C/   DESIERTO DE TABERNAS,PINTO,MADRID,28320,916919067
E0273,1.0,MERCK S.L.,C/   MARIA DE MOLINA,MADRID,MADRID,28006,917454400
E0274,1.0,IMBA,"PASEO PADRE FEIJOO, 14",CEUTA,CADIZ,11702,0
E0276,1.0,IFC,C/   AREQUIPA,MADRID,MADRID,28043,913822995
E0279,1.0,INEXFA,"CTRA NACIONAL 340, KM 28",ORIHUELA,ALICANTE,03300,965302601
E0280,1.0,ERBAPHARM,C/   LLEVANT,LA PALMA DE CERVELLO,BARCELONA,08756,936721075
E0281,1.0,BERENGUER INFALE,RONDA GENERAL MITRE,BARCELONA,BARCELONA,08022,932913000
E0282,1.0,NATTERMANN,"AVDA. DE LEGANES, 62",ALCORCÓN,MADRID,28925,916858400
E0284,1.0,INIBSA,"CTRA SABADELL GRANOLLERS KM 14,5",LLIÇA DE VALL,BARCELONA,08185,938609500
E0285,1.0,UNIPHARMA,CTRA. DE MOLINS DE REY A RUBÍ,EL PAPIOL,BARCELONA,08754,937739060
E0287,1.0,INSTITUTO FARMACOLOGICO ESPAÑOL,C    GANDARON,TEO,A CORUÑA,15883,981803858
E0288,1.0,SYNTEX LATINO,CTRA CARABANCHLE A ANDALUCIA S/N,MADRID,MADRID,28025,915086240
E0289,1.0,INSTITUTO FERRAN,"M.J VERDAGUER, 62",SANT JOAN DESPI,BARCELONA,08970,934773006
E0290,1.0,UNIBIOS,, , ,,0
E0293,1.0,IQUINOSA FARMA,VIA DE LOS POBLADOS,MADRID,MADRID,28033,914680800
E0294,1.0,UPSA MEDICA,"C/ALMANSA, 101",MADRID,MADRID,28040,914565300
E0295,1.0,ITALQUIMICA,, , ,,0
E0298,1.0,JORBA,"JOSEFA VALCARCEL, 30",MADRID,MADRID,28027,917424178
E0299,1.0,EL NATURALISTA,CTRA DE TORRE DON MIGUEL S/N,CADALSO DE GATA,CACERES,10865,927110100
E0300,1.0,JUANOLA,"MARTI, 131",BARCELONA,BARCELONA,08024,932130413
E0302,1.0,SERONO ESPAÑA,MARIA DE MOLINA,MADRID,MADRID,28006,917454400
E0305,1.0,JUSTE,JUAN IGNACIO LUCA DE TENA,MADRID,MADRID,28027,917248200
E0307,1.0,KNICKERBOCKER SAE,"CONDE DE BORELL, 158",BARCELONA,BARCELONA,08015,933231250
E0309,1.0,KIN,AV.  DIAGONAL,BARCELONA,BARCELONA,08018,933003914
E0311,1.0,DISELEN,, , ,,0
E0312,1.0,LA QUIMICA MEDICA S.A.,AVDA DE SARRIÀ,BARCELONA,BARCELONA,08017,932032151
E0314,1.0,SANOFI AVENTIS S.A.U,JOSEP PLA,BARCELONA,BARCELONA,08019,934859439
E0318,1.0,LACER,C/   SARDENYA,BARCELONA,BARCELONA,08025,934465300
E0321,1.0,SYNTHELABO ALONGA,"RAMIREZ DE ARELLANO, 29",MADRID,MADRID,28043,913938000
E0324,1.0,LAGROL,, , ,,0
E0325,1.0,LAINCO,"AVDA BIZET ""CAN JARDI""",RUBI,BARCELONA,08191,935862015
E0327,1.0,LANDERLAN,"REY PASTOR, 28 POL. IND.",LEGANES,MADRID,28914,916780000
E0328,1.0,LANZAS,"LAUREA MIRO, 395",SANT FELIU DE LLOBREGAT,BARCELONA,08980,936662611
E0329,1.0,LAPROQUIFAR,"LAS CAROLINAS, 13",BARCELONA,BARCELONA,08012,932285472
E0331,1.0,IPSEN PHARMA,PLAZA DE EUROPA,L´HOSPITALET DE LLOBREGAT,BARCELONA,08908,936858100
E0334,1.0,LEFA,, , ,,0
E0335,1.0,BEHRING,, , ,,0
E0339,1.0,LESVI,AVDA DE BARCELONA,SANT JOAN DESPI,BARCELONA,08970,934759600
E0340,1.0,LEVEL,"PEDRO-IV, 499",BARCELONA,BARCELONA,08020,933148011
E0342,1.0,BOOTS PHARMACEUTICALS,"AVDA. DE BURGOS, 91",MADRID,MADRID,28050,913343900
E0344,1.0,GENERFARMA S.L.,RONDA ISAAC PERAL,PATERNA,VALENCIA,46980,963742212
E0345,1.0,SANOFI AVENTIS S.A.,C/   JOSEP PLA,BARCELONA,BARCELONA,08019,
E0346,1.0,LILLY,AVDA DE LA INDUSTRIA,ALCOBENDAS,MADRID,28108,916635000
E0349,1.0,SERVIER S.L,AVDA. DE MADROÑOS,MADRID,MADRID,28043,917489650
E0352,1.0,FIDIA FARMACEUTICA S.A.,C/   PLAYA DE AMERICAS,LAS ROZAS DE MADRID,MADRID,28290,810512958
E0353,1.0,LLENAS,, , ,,0
E0354,1.0,MARION MERRELL,MARTÍNEZ VILLERGAS,MADRID,MADRID,28027,917245720
E0355,1.0,LLORENS,CIUDAD DE BALAGUER,BARCELONA,BARCELONA,08022,932125312
E0356,1.0,LLORENTE,CTRA EL PARDO KM 1,MADRID,MADRID,28035,0
E0358,1.0,MABO,"CAMINO DE CARRILES, S/N",COSLADA,MADRID,28820,916713200
E0359,1.0,FOURNIER IBERICA,, , ,,0
E0360,1.0,MADARIAGA,ELECTRONICA,ALCORCON,MADRID,28923,916437500
E0361,1.0,KNOLL,AVDA DE BURGOS,MADRID,MADRID,28050,913343900
E0363,1.0,MAIPE,, , ,,0
E0364,1.0,URCA,"MATILDE HERNANDEZ, 34",MADRID,MADRID,28019,914723262
E0371,1.0,PHARMACIA IBERIA,"ANTONIO LOPEZ, 109",MADRID,MADRID,28026,915895100
E0372,1.0,"MARTINEZ LLENAS, S.A.",AFUERAS DE SANTA INES,LA ROCA DEL VALLES,BARCELONA,08430,938460072
E0375,1.0,URIACH AQUILEA OTC.,AVDA RIERA DE CALDES,PALAU-SOLITÀ I PLEGAMANS,BARCELONA,08184,938649692
E0376,1.0,A.C.P.G.SA,POL  EZCABARTE,ORICAIN,NAVARRA,31194,948126211
E0378,1.0,B.BRAUN MEDICAL,CTRA TERRASSA,RUBI,BARCELONA,08191,977169182
E0379,1.0,IFARMAX,, , ,,0
E0380,1.0,MAZUELOS,, , ,,0
E0381,1.0,MEDEA,GRAN CAPITAN,SANT JOAN DESPI,BARCELONA,08970,934806740
E0382,1.0,MEDICAL,GONZALO ANTONIO SERRANO POLIGONO IND LAS QUEMADAS PARCELA 87 NAVE 9,CORDOBA,CORDOBA,14014,957326718
E0383,1.0,APOTHECON,CTRA ANTIGUA DE AJALVIR KM 2.200,ALCALA DE HENARES,MADRID,28806,918775830
E0385,1.0,GRUNENTHAL,"DOCTOR ZAMENHOF, 36",MADRID,MADRID,28027,913019300
E0386,1.0,MEDIX,C/   DEL PLASTICO,AZUQUECA DE HENARES,GUADALAJARA,19200,949277583
E0387,1.0,MENARINI,C/   ALFONSO XII,BADALONA,BARCELONA,08918,934628800
E0388,1.0,BAYER DIAGNOSTICO,"PLAZA DE ESPAÑA, 10",MADRID,MADRID,28008,915427863
E0394,1.0,MIGUEZ,"GENERAL PINGARRON, 5",GETAFE,MADRID,28902,916815555
E0395,1.0,MILO,LOS ANGELES,LA MUELA,ZARAGOZA,50196,976144833
E0396,1.0,MILUY,, , ,,0
E0397,1.0,MIQUEL GARRIGA,"JOAQUIN COSTA, 18 1º",MONTGAT,BARCELONA,08390,934692266
E0398,1.0,MIQUEL OTSUKA,"SANTANY, 16",BARCELONA,BARCELONA,08016,933403254
E0399,1.0,MSD,JOSEFA VALCARCEL,MADRID,MADRID,28027,913210600
E0400,5.0,SEQUUS PHARMACEUTICALS,PROFILE WEST,BRENTFORD,MIDDLESEX TW89ES,, 
E0402,1.0,MONIK,"AVDA DE LA PLAYA, 1",CONIL DE LA FRONTERA,CADIZ,11140,
E0405,1.0,IMMUNO,"SAN SEBASTIAN, S/N",SANT JUST DESVERN,BARCELONA,08960,933719453
E0407,1.0,QUIMIFAR,CAMI CAN CAMPS,SANT CUGAT DEL VALLES,BARCELONA,08174,936227030
E0408,1.0,MOREJON,, , ,,0
E0409,1.0,LLORENTE GENERIC,"ALCALA, 53, 3ºI",MADRID,MADRID,28001,0
E0410,1.0,BEECHAM,C/   SEVERO OCHOA,TRES CANTOS,MADRID,28760,918070301
E0411,1.0,MUÑOZ,, , ,,0
E0416,1.0,CICLUM FARMA,FREDERIC MOMPOU,SANT JUST DESVERN,BARCELONA,08960,934738889
E0419,1.0,NESSA,, , ,,0
E0421,1.0,NEZEL,"AV. DIAGONAL, 507",BARCELONA,BARCELONA,08029,934954500
E0423,1.0,URBION FARMA,"AVDA PORTUGAL, PARCELA 85 POL ALLENDEDUERO",ARANDA DE DUERO,BURGOS,09400,947510691
E0426,1.0,NORMON,RONDA DE VALDECARRIZO,TRES CANTOS,MADRID,28760,918065240
E0427,1.0,CUSI,"CTRA NACIONAL II, KM 632",EL MASNOU,BARCELONA,08320,935402100
E0430,1.0,OFTALMISO,, , ,,0
E0432,1.0,SALUSPAC,C/   METANO,TORREJON DE ARDOZ,MADRID,28850,916779711
E0433,1.0,ORFI FARMA,"CTRA. BURGOS, KM-23, DESVÍO ALGETE KM, 1",SAN SEBASTIAN DE LOS REYES,MADRID,28700,913346400
E0436,1.0,ORRAVAN,GRAN CAPITAN,SAN JUAN DESPI,BARCELONA,08970,934806700
E0437,1.0,ALCON HEALTHCARE S.A.,GRAN VIA CORTS CATALANES,BARCELONA,BARCELONA,08013,
E0438,1.0,NOVAG,"GRAN VIA DE CARLOS III, 94",BARCELONA,BARCELONA,08028,936003700
E0439,1.0,PENTAFARM,"GALILEO, 250",BARCELONA,BARCELONA,08028,932194004
E0442,1.0,PARISIS,"JUAN DE JUANES, 8",MADRID,MADRID,28007, 
E0445,1.0,PEDEMONTE,, , ,,0
E0446,1.0,JUVENTUS,C/   JULIAN CAMARILLO,MADRID,MADRID,28037,911215257
E0447,1.0,PELLETIER,"CTRA. M-300, KM 29,920",ALCALA DE HENARES,MADRID,28880,918890600
E0448,1.0,PENSA,RAMBLA DE CATALUNYA,BARCELONA,BARCELONA,08008,934466170
E0450,1.0,SORIA NATURAL.,POL. LA SACEA,GARRAY,SORIA,42162,975252046
E0451,1.0,PHARMINICIO,C    ARIBAU,BARCELONA,BARCELONA,08036,
E0453,1.0,PEREZ GIMENEZ,"CRTA. A-431, KM 19",ALMODOVAR DEL RÍO,CORDOBA,14720,
E0454,1.0,PERGA,, , ,,0
E0455,1.0,"UCB PHARMA, S.A.",PLAZA DE MANUEL GÓMEZ MORENO,MADRID,MADRID,28020,915703444
E0456,1.0,PFIZER,AVDA DE EUROPA,ALCOBENDAS,MADRID,28108,914909900
E0458,1.0,PIKRA,, , ,,0
E0461,1.0,PONS,"MAYOR, 27",LERIDA,LERIDA,25007,973211701
E0463,1.0,PRATS,"TRAVESERA DEL DALT,44",BARCELONA,BARCELONA,08024,
E0465,1.0,WINTER,, , ,,0
E0467,1.0,ALMOFARMA,RONDA DEL GENERAL MITRE,BARCELONA,BARCELONA,08022,932913000
E0470,1.0,BRISTOL MYERS,CAMPUS EMPRESARIAL JOSE Mª CHURRUCA,"ALMANSA, 101",MADRID,28040,914565300
E0471,1.0,PROMESA SYNTHELABO,"LOS CEDROS, S/N POLG. INDUSTRIAL",PARACUELLOS DEL JARAMA,MADRID,28860, 
E0473,1.0,PUERTO GALIANO,C/   PARIS,LAS ROZAS,MADRID,28232,917105047
E0474,1.0,PHERGAL,C/   HIERRO,TORREJON DE ARDOZ,MADRID,28850,916754239
E0478,1.0,PELAYO,TALLERS,BARCELONA,BARCELONA,08001,933020078
E0482,1.0,QUIMPE,C/   CRUZ,ALHAURIN EL GRANDE,MALAGA,29120,952490041
E0484,1.0,R T B,, , ,,0
E0486,1.0,BIO TERAPICO RALAY,"FERNANDO PUIG, 58'60",BARCELONA,BARCELONA,08023,932176818
E0487,1.0,RAPIDE,ARTISTAS 12  Y 14,MADRID,MADRID,28020,912347942
E0492,1.0,REDER,, , ,,0
E0493,1.0,REIG JOFRE,GRAN CAPITAN,SANT JOAN DESPí,BARCELONA,08970,934806710
E0494,1.0,SIGMA TAU,C    BOLIVIA,ALCALA DE HENARES,MADRID,28806,918883600
E0496,1.0,WYETH FARMA,CTRA BURGOS,SAN SEBASTIAN DE LOS REYES,MADRID,28700,913346400
E0500,1.0,RIDA,"MATIAS PERELLO, 55",VALENCIA,VALENCIA,46005,963741466
E0502,1.0,CRISOL,, , ,,0
E0503,1.0,SALUD,, , ,,0
E0505,1.0,RIUS GARRIGA,"PUJADAS, 95",BARCELONA,BARCELONA,08005, 
E0506,1.0,NOVARTIS CONSUMER HEALTH,C/   MARINA,BARCELONA,BARCELONA,08013,933067575
E0507,1.0,ROBERT,AVENIDA DE DIAGONAL,BARCELONA,BARCELONA,08029,936003700
E0508,1.0,SQFE ROCAFORT DORIA,"CTRA HOSPITALET, 35",CORNELLA,BARCELONA,08027,933776011
